package,version,root_cause
fbprophet,0.7.1,"reason2,3"
gooey,1.0.7,reason2
goose-extractor,1.0.25,reason2
iterm2,1.3,reason2
m2crypto,0.38.0,reason2
neomodel,4.0.1,reason3
openfisca-core,35.6.0,"reason2,3"
pymc,2.3.8,reason2
quantaxis,1.10.1,"reason2,3"
tartiflette,1.4.0,reason2
ai2thor,3.5.1,reason2
cysystemd,1.4.5,reason2
droopescan,1.45.1,reason2
geofuns,1.1.8,reason3
google-apitools,0.5.31,reason2
imgaug,0.4.0,reason2
indian-namematch,1.3.0,reason3
keras-retinanet,1.0.0,reason2
niceprint,3.3.0,reason2
pyobjc-core,7.3,"reason1,2"
pyparted,3.11.7,reason2
pytenable,1.3.0,"reason2,3"
pytest-console-scripts,1.2.0,reason2
python-ldap,3.3.1,reason2
python-saml,2.10.0,reason2
transformers-phobert,3.1.2,reason2
unirest,1.1.7,reason2
universe,0.21.3,reason2
will,2.1.3,reason2
xblock-utils,2.2.0,reason2
aiohttp-sse-client,0.2.0,"reason2,3"
aioresponses,0.7.1,reason2
allensdk,2.13.0,"reason2,3"
arviz,0.11.2,"reason2,3"
asyncpgsa,0.27.0,reason2
atari-py,0.3.0,reason2
azure-servicebus,7.3.3,reason2
