number,package,version,incompatible python version,resource type
329,rise,5.7.1,2.7,whl
330,robomotion,1.4.0,3.10,
331,sanic-cors,1.0.0,2.7,
332,sphinxcontrib-blockdiag,2.0.0,2.7,whl
333,spiceypy,4.0.0,3.7,
334,superset,0.30.0,3.10,
335,textdistance,4.2.0,2.7,gz
336,transformers-phobert,3.1.2,3.10,
337,turbodbc,4.2.0,3.7,
338,twarc,2.8.0,3.5,whl
339,udata,3.2.0,3.10,
340,udiskie,2.3.3,3.7,
341,umap-learn,0.5.0,2.7,gz
342,unirest,1.1.7,3.7,
343,universe,0.21.3,3.7,
344,vaex-arrow,0.5.1,2.7,gz
345,validator-collection,1.5.0,2.7,
346,voila,0.2.4,3.5,
347,vowpalwabbit,8.11.0,3.10,
348,weblate,4.8.1,3.7,
349,will,2.1.3,3.7,
350,wxpython,4.1.1,3.7,
351,xblock-utils,2.2.0,2.7,
352,yellowbrick,1.3.post1,3.10,
353,zigpy,0.38.0,2.7,gz
354,adafruit-circuitpython-ble,8.1.0,2.7,gz
355,adafruit_python_dht,1.4.0,3.7,gz
356,aiohttp-sse-client,0.2.0,2.7,whl
357,aiohue,2.6.2,2.7,gz
358,aioimaplib,0.9.0,2.7,gz
359,aioprocessing,2.0.0,2.7,gz
360,aioresponses,0.7.1,2.7,whl
361,aisating,1.2.2,2.7,gz
362,aldryn-bootstrap3,1.3.0,2.7,whl
363,aldryn-forms,6.2.1,2.7,gz
364,alibi,0.6.1,3.10,whl
365,allensdk,2.13.0,3.10,whl
366,arviz,0.11.2,2.7,gz
367,asyncpgsa,0.27.0,2.7,gz
368,atari-py,0.3.0,3.7,gz
369,azure-mgmt,5.0.0,3.7,
370,azure-servicebus,7.3.3,3.5,
371,batman-package,2.4.7,3.7,gz
372,tabulate,0.8.7,3.10,whl
373,tinydb,4.5.2,3.5,whl
374,django-appconf,1.0.4,2.7,whl
375,moto,2.2.8,2.7,whl
376,pysimplegui,4.51.7,2.7,whl
377,aiodns,3.0.0,2.7,whl
378,luigi,3.0.0,2.7,whl
379,pyotp,2.6.0,2.7,whl
380,pytelegrambotapi,4.1.0,2.7,whl
381,pytesseract,0.3.7,2.7,gz
382,zeroconf,0.36.7,2.7,whl
383,dataset,1.5.0,3.5,whl
384,django-countries,7.2,2.7,whl
